id,date,time,direction,motorcycle,car,bus,truck
1,2023-09-01,07:00,stadium,,,,
2,2023-09-01,07:00,JalanPerak,,,,
3,2023-09-01,07:00,JalanPRamlee,,,,
4,2023-09-01,07:00,JalanPenang,,,,
5,2023-09-01,07:15,stadium,,,,
6,2023-09-01,07:15,JalanPerak,,,,
7,2023-09-01,07:15,JalanPRamlee,,,,
8,2023-09-01,07:15,JalanPenang,,,,
9,2023-09-01,07:30,stadium,,,,
10,2023-09-01,07:30,JalanPerak,,,,
11,2023-09-01,07:30,JalanPRamlee,,,,
12,2023-09-01,07:30,JalanPenang,,,,
13,2023-09-01,07:45,stadium,,,,
14,2023-09-01,07:45,JalanPerak,,,,
15,2023-09-01,07:45,JalanPRamlee,,,,
16,2023-09-01,07:45,JalanPenang,,,,
17,2023-09-01,08:00,stadium,,,,
18,2023-09-01,08:00,JalanPerak,,,,
19,2023-09-01,08:00,JalanPRamlee,,,,
20,2023-09-01,08:00,JalanPenang,,,,
21,2023-09-01,08:15,stadium,,,,
22,2023-09-01,08:15,JalanPerak,,,,
23,2023-09-01,08:15,JalanPRamlee,,,,
24,2023-09-01,08:15,JalanPenang,,,,
25,2023-09-01,08:30,stadium,,,,
26,2023-09-01,08:30,JalanPerak,,,,
27,2023-09-01,08:30,JalanPRamlee,,,,
28,2023-09-01,08:30,JalanPenang,,,,
29,2023-09-01,08:45,stadium,,,,
30,2023-09-01,08:45,JalanPerak,,,,
31,2023-09-01,08:45,JalanPRamlee,,,,
32,2023-09-01,08:45,JalanPenang,,,,
33,2023-09-01,12:00,stadium,,,,
34,2023-09-01,12:00,JalanPerak,,,,
35,2023-09-01,12:00,JalanPRamlee,,,,
36,2023-09-01,12:00,JalanPenang,,,,
37,2023-09-01,12:15,stadium,,,,
38,2023-09-01,12:15,JalanPerak,,,,
39,2023-09-01,12:15,JalanPRamlee,,,,
40,2023-09-01,12:15,JalanPenang,,,,
41,2023-09-01,12:30,stadium,,,,
42,2023-09-01,12:30,JalanPerak,,,,
43,2023-09-01,12:30,JalanPRamlee,,,,
44,2023-09-01,12:30,JalanPenang,,,,
45,2023-09-01,12:45,stadium,,,,
46,2023-09-01,12:45,JalanPerak,,,,
47,2023-09-01,12:45,JalanPRamlee,,,,
48,2023-09-01,12:45,JalanPenang,,,,
49,2023-09-01,13:00,stadium,,,,
50,2023-09-01,13:00,JalanPerak,,,,
51,2023-09-01,13:00,JalanPRamlee,,,,
52,2023-09-01,13:00,JalanPenang,,,,
53,2023-09-01,13:15,stadium,,,,
54,2023-09-01,13:15,JalanPerak,,,,
55,2023-09-01,13:15,JalanPRamlee,,,,
56,2023-09-01,13:15,JalanPenang,,,,
57,2023-09-01,13:30,stadium,,,,
58,2023-09-01,13:30,JalanPerak,,,,
59,2023-09-01,13:30,JalanPRamlee,,,,
60,2023-09-01,13:30,JalanPenang,,,,
61,2023-09-01,13:45,stadium,,,,
62,2023-09-01,13:45,JalanPerak,,,,
63,2023-09-01,13:45,JalanPRamlee,,,,
64,2023-09-01,13:45,JalanPenang,,,,
