id,date,day_of_week,time,timezone,direction,motorcycle,car,bus,truck
1,2023-09-01,Friday,07:00,1,Stadium,,,,
2,2023-09-01,Friday,07:00,1,JalanPerak,,,,
3,2023-09-01,Friday,07:00,1,JalanPRamlee,,,,
4,2023-09-01,Friday,07:00,1,JalanPenang,,,,
5,2023-09-01,Friday,07:15,1,Stadium,,,,
6,2023-09-01,Friday,07:15,1,JalanPerak,,,,
7,2023-09-01,Friday,07:15,1,JalanPRamlee,,,,
8,2023-09-01,Friday,07:15,1,JalanPenang,,,,
9,2023-09-01,Friday,07:30,1,Stadium,,,,
10,2023-09-01,Friday,07:30,1,JalanPerak,,,,
11,2023-09-01,Friday,07:30,1,JalanPRamlee,,,,
12,2023-09-01,Friday,07:30,1,JalanPenang,,,,
13,2023-09-01,Friday,07:45,1,Stadium,,,,
14,2023-09-01,Friday,07:45,1,JalanPerak,,,,
15,2023-09-01,Friday,07:45,1,JalanPRamlee,,,,
16,2023-09-01,Friday,07:45,1,JalanPenang,,,,
17,2023-09-01,Friday,08:00,1,Stadium,,,,
18,2023-09-01,Friday,08:00,1,JalanPerak,,,,
19,2023-09-01,Friday,08:00,1,JalanPRamlee,,,,
20,2023-09-01,Friday,08:00,1,JalanPenang,,,,
21,2023-09-01,Friday,08:15,1,Stadium,,,,
22,2023-09-01,Friday,08:15,1,JalanPerak,,,,
23,2023-09-01,Friday,08:15,1,JalanPRamlee,,,,
24,2023-09-01,Friday,08:15,1,JalanPenang,,,,
25,2023-09-01,Friday,08:30,1,Stadium,,,,
26,2023-09-01,Friday,08:30,1,JalanPerak,,,,
27,2023-09-01,Friday,08:30,1,JalanPRamlee,,,,
28,2023-09-01,Friday,08:30,1,JalanPenang,,,,
29,2023-09-01,Friday,08:45,1,Stadium,,,,
30,2023-09-01,Friday,08:45,1,JalanPerak,,,,
31,2023-09-01,Friday,08:45,1,JalanPRamlee,,,,
32,2023-09-01,Friday,08:45,1,JalanPenang,,,,
33,2023-09-01,Friday,12:00,2,Stadium,,,,
34,2023-09-01,Friday,12:00,2,JalanPerak,,,,
35,2023-09-01,Friday,12:00,2,JalanPRamlee,,,,
36,2023-09-01,Friday,12:00,2,JalanPenang,,,,
37,2023-09-01,Friday,12:15,2,Stadium,,,,
38,2023-09-01,Friday,12:15,2,JalanPerak,,,,
39,2023-09-01,Friday,12:15,2,JalanPRamlee,,,,
40,2023-09-01,Friday,12:15,2,JalanPenang,,,,
41,2023-09-01,Friday,12:30,2,Stadium,,,,
42,2023-09-01,Friday,12:30,2,JalanPerak,,,,
43,2023-09-01,Friday,12:30,2,JalanPRamlee,,,,
44,2023-09-01,Friday,12:30,2,JalanPenang,,,,
45,2023-09-01,Friday,12:45,2,Stadium,,,,
46,2023-09-01,Friday,12:45,2,JalanPerak,,,,
47,2023-09-01,Friday,12:45,2,JalanPRamlee,,,,
48,2023-09-01,Friday,12:45,2,JalanPenang,,,,
49,2023-09-01,Friday,13:00,2,Stadium,,,,
50,2023-09-01,Friday,13:00,2,JalanPerak,,,,
51,2023-09-01,Friday,13:00,2,JalanPRamlee,,,,
52,2023-09-01,Friday,13:00,2,JalanPenang,,,,
53,2023-09-01,Friday,13:15,2,Stadium,,,,
54,2023-09-01,Friday,13:15,2,JalanPerak,,,,
55,2023-09-01,Friday,13:15,2,JalanPRamlee,,,,
56,2023-09-01,Friday,13:15,2,JalanPenang,,,,
57,2023-09-01,Friday,13:30,2,Stadium,,,,
58,2023-09-01,Friday,13:30,2,JalanPerak,,,,
59,2023-09-01,Friday,13:30,2,JalanPRamlee,,,,
60,2023-09-01,Friday,13:30,2,JalanPenang,,,,
61,2023-09-01,Friday,13:45,2,Stadium,,,,
62,2023-09-01,Friday,13:45,2,JalanPerak,,,,
63,2023-09-01,Friday,13:45,2,JalanPRamlee,,,,
64,2023-09-01,Friday,13:45,2,JalanPenang,,,,
65,2023-09-01,Friday,17:00,3,Stadium,,,,
66,2023-09-01,Friday,17:00,3,JalanPerak,,,,
67,2023-09-01,Friday,17:00,3,JalanPRamlee,,,,
68,2023-09-01,Friday,17:00,3,JalanPenang,,,,
69,2023-09-01,Friday,17:15,3,Stadium,,,,
70,2023-09-01,Friday,17:15,3,JalanPerak,,,,
71,2023-09-01,Friday,17:15,3,JalanPRamlee,,,,
72,2023-09-01,Friday,17:15,3,JalanPenang,,,,
73,2023-09-01,Friday,17:30,3,Stadium,,,,
74,2023-09-01,Friday,17:30,3,JalanPerak,,,,
75,2023-09-01,Friday,17:30,3,JalanPRamlee,,,,
76,2023-09-01,Friday,17:30,3,JalanPenang,,,,
77,2023-09-01,Friday,17:45,3,Stadium,,,,
78,2023-09-01,Friday,17:45,3,JalanPerak,,,,
79,2023-09-01,Friday,17:45,3,JalanPRamlee,,,,
80,2023-09-01,Friday,17:45,3,JalanPenang,,,,
81,2023-09-01,Friday,18:00,3,Stadium,,,,
82,2023-09-01,Friday,18:00,3,JalanPerak,,,,
83,2023-09-01,Friday,18:00,3,JalanPRamlee,,,,
84,2023-09-01,Friday,18:00,3,JalanPenang,,,,
85,2023-09-01,Friday,18:15,3,Stadium,,,,
86,2023-09-01,Friday,18:15,3,JalanPerak,,,,
87,2023-09-01,Friday,18:15,3,JalanPRamlee,,,,
88,2023-09-01,Friday,18:15,3,JalanPenang,,,,
89,2023-09-01,Friday,18:30,3,Stadium,,,,
90,2023-09-01,Friday,18:30,3,JalanPerak,,,,
91,2023-09-01,Friday,18:30,3,JalanPRamlee,,,,
92,2023-09-01,Friday,18:30,3,JalanPenang,,,,
93,2023-09-02,Saturday,07:00,1,Stadium,,,,
94,2023-09-02,Saturday,07:00,1,JalanPerak,,,,
95,2023-09-02,Saturday,07:00,1,JalanPRamlee,,,,
96,2023-09-02,Saturday,07:00,1,JalanPenang,,,,
97,2023-09-02,Saturday,07:15,1,Stadium,,,,
98,2023-09-02,Saturday,07:15,1,JalanPerak,,,,
99,2023-09-02,Saturday,07:15,1,JalanPRamlee,,,,
100,2023-09-02,Saturday,07:15,1,JalanPenang,,,,
101,2023-09-02,Saturday,07:30,1,Stadium,,,,
102,2023-09-02,Saturday,07:30,1,JalanPerak,,,,
103,2023-09-02,Saturday,07:30,1,JalanPRamlee,,,,
104,2023-09-02,Saturday,07:30,1,JalanPenang,,,,
105,2023-09-02,Saturday,07:45,1,Stadium,,,,
106,2023-09-02,Saturday,07:45,1,JalanPerak,,,,
107,2023-09-02,Saturday,07:45,1,JalanPRamlee,,,,
108,2023-09-02,Saturday,07:45,1,JalanPenang,,,,
109,2023-09-02,Saturday,08:00,1,Stadium,,,,
110,2023-09-02,Saturday,08:00,1,JalanPerak,,,,
111,2023-09-02,Saturday,08:00,1,JalanPRamlee,,,,
112,2023-09-02,Saturday,08:00,1,JalanPenang,,,,
113,2023-09-02,Saturday,08:15,1,Stadium,,,,
114,2023-09-02,Saturday,08:15,1,JalanPerak,,,,
115,2023-09-02,Saturday,08:15,1,JalanPRamlee,,,,
116,2023-09-02,Saturday,08:15,1,JalanPenang,,,,
117,2023-09-02,Saturday,08:30,1,Stadium,,,,
118,2023-09-02,Saturday,08:30,1,JalanPerak,,,,
119,2023-09-02,Saturday,08:30,1,JalanPRamlee,,,,
120,2023-09-02,Saturday,08:30,1,JalanPenang,,,,
121,2023-09-02,Saturday,08:45,1,Stadium,,,,
122,2023-09-02,Saturday,08:45,1,JalanPerak,,,,
123,2023-09-02,Saturday,08:45,1,JalanPRamlee,,,,
124,2023-09-02,Saturday,08:45,1,JalanPenang,,,,
125,2023-09-02,Saturday,12:00,2,Stadium,,,,
126,2023-09-02,Saturday,12:00,2,JalanPerak,,,,
127,2023-09-02,Saturday,12:00,2,JalanPRamlee,,,,
128,2023-09-02,Saturday,12:00,2,JalanPenang,,,,
129,2023-09-02,Saturday,12:15,2,Stadium,,,,
130,2023-09-02,Saturday,12:15,2,JalanPerak,,,,
131,2023-09-02,Saturday,12:15,2,JalanPRamlee,,,,
132,2023-09-02,Saturday,12:15,2,JalanPenang,,,,
133,2023-09-02,Saturday,12:30,2,Stadium,,,,
134,2023-09-02,Saturday,12:30,2,JalanPerak,,,,
135,2023-09-02,Saturday,12:30,2,JalanPRamlee,,,,
136,2023-09-02,Saturday,12:30,2,JalanPenang,,,,
137,2023-09-02,Saturday,12:45,2,Stadium,,,,
138,2023-09-02,Saturday,12:45,2,JalanPerak,,,,
139,2023-09-02,Saturday,12:45,2,JalanPRamlee,,,,
140,2023-09-02,Saturday,12:45,2,JalanPenang,,,,
141,2023-09-02,Saturday,13:00,2,Stadium,,,,
142,2023-09-02,Saturday,13:00,2,JalanPerak,,,,
143,2023-09-02,Saturday,13:00,2,JalanPRamlee,,,,
144,2023-09-02,Saturday,13:00,2,JalanPenang,,,,
145,2023-09-02,Saturday,13:15,2,Stadium,,,,
146,2023-09-02,Saturday,13:15,2,JalanPerak,,,,
147,2023-09-02,Saturday,13:15,2,JalanPRamlee,,,,
148,2023-09-02,Saturday,13:15,2,JalanPenang,,,,
149,2023-09-02,Saturday,13:30,2,Stadium,,,,
150,2023-09-02,Saturday,13:30,2,JalanPerak,,,,
151,2023-09-02,Saturday,13:30,2,JalanPRamlee,,,,
152,2023-09-02,Saturday,13:30,2,JalanPenang,,,,
153,2023-09-02,Saturday,13:45,2,Stadium,,,,
154,2023-09-02,Saturday,13:45,2,JalanPerak,,,,
155,2023-09-02,Saturday,13:45,2,JalanPRamlee,,,,
156,2023-09-02,Saturday,13:45,2,JalanPenang,,,,
157,2023-09-02,Saturday,17:00,3,Stadium,,,,
158,2023-09-02,Saturday,17:00,3,JalanPerak,,,,
159,2023-09-02,Saturday,17:00,3,JalanPRamlee,,,,
160,2023-09-02,Saturday,17:00,3,JalanPenang,,,,
161,2023-09-02,Saturday,17:15,3,Stadium,,,,
162,2023-09-02,Saturday,17:15,3,JalanPerak,,,,
163,2023-09-02,Saturday,17:15,3,JalanPRamlee,,,,
164,2023-09-02,Saturday,17:15,3,JalanPenang,,,,
165,2023-09-02,Saturday,17:30,3,Stadium,,,,
166,2023-09-02,Saturday,17:30,3,JalanPerak,,,,
167,2023-09-02,Saturday,17:30,3,JalanPRamlee,,,,
168,2023-09-02,Saturday,17:30,3,JalanPenang,,,,
169,2023-09-02,Saturday,17:45,3,Stadium,,,,
170,2023-09-02,Saturday,17:45,3,JalanPerak,,,,
171,2023-09-02,Saturday,17:45,3,JalanPRamlee,,,,
172,2023-09-02,Saturday,17:45,3,JalanPenang,,,,
173,2023-09-02,Saturday,18:00,3,Stadium,,,,
174,2023-09-02,Saturday,18:00,3,JalanPerak,,,,
175,2023-09-02,Saturday,18:00,3,JalanPRamlee,,,,
176,2023-09-02,Saturday,18:00,3,JalanPenang,,,,
177,2023-09-02,Saturday,18:15,3,Stadium,,,,
178,2023-09-02,Saturday,18:15,3,JalanPerak,,,,
179,2023-09-02,Saturday,18:15,3,JalanPRamlee,,,,
180,2023-09-02,Saturday,18:15,3,JalanPenang,,,,
181,2023-09-02,Saturday,18:30,3,Stadium,,,,
182,2023-09-02,Saturday,18:30,3,JalanPerak,,,,
183,2023-09-02,Saturday,18:30,3,JalanPRamlee,,,,
184,2023-09-02,Saturday,18:30,3,JalanPenang,,,,
185,2023-09-03,Sunday,07:00,1,Stadium,,,,
186,2023-09-03,Sunday,07:00,1,JalanPerak,,,,
187,2023-09-03,Sunday,07:00,1,JalanPRamlee,,,,
188,2023-09-03,Sunday,07:00,1,JalanPenang,,,,
189,2023-09-03,Sunday,07:15,1,Stadium,,,,
190,2023-09-03,Sunday,07:15,1,JalanPerak,,,,
191,2023-09-03,Sunday,07:15,1,JalanPRamlee,,,,
192,2023-09-03,Sunday,07:15,1,JalanPenang,,,,
193,2023-09-03,Sunday,07:30,1,Stadium,,,,
194,2023-09-03,Sunday,07:30,1,JalanPerak,,,,
195,2023-09-03,Sunday,07:30,1,JalanPRamlee,,,,
196,2023-09-03,Sunday,07:30,1,JalanPenang,,,,
197,2023-09-03,Sunday,07:45,1,Stadium,,,,
198,2023-09-03,Sunday,07:45,1,JalanPerak,,,,
199,2023-09-03,Sunday,07:45,1,JalanPRamlee,,,,
200,2023-09-03,Sunday,07:45,1,JalanPenang,,,,
201,2023-09-03,Sunday,08:00,1,Stadium,,,,
202,2023-09-03,Sunday,08:00,1,JalanPerak,,,,
203,2023-09-03,Sunday,08:00,1,JalanPRamlee,,,,
204,2023-09-03,Sunday,08:00,1,JalanPenang,,,,
205,2023-09-03,Sunday,08:15,1,Stadium,,,,
206,2023-09-03,Sunday,08:15,1,JalanPerak,,,,
207,2023-09-03,Sunday,08:15,1,JalanPRamlee,,,,
208,2023-09-03,Sunday,08:15,1,JalanPenang,,,,
209,2023-09-03,Sunday,08:30,1,Stadium,,,,
210,2023-09-03,Sunday,08:30,1,JalanPerak,,,,
211,2023-09-03,Sunday,08:30,1,JalanPRamlee,,,,
212,2023-09-03,Sunday,08:30,1,JalanPenang,,,,
213,2023-09-03,Sunday,08:45,1,Stadium,,,,
214,2023-09-03,Sunday,08:45,1,JalanPerak,,,,
215,2023-09-03,Sunday,08:45,1,JalanPRamlee,,,,
216,2023-09-03,Sunday,08:45,1,JalanPenang,,,,
217,2023-09-03,Sunday,12:00,2,Stadium,,,,
218,2023-09-03,Sunday,12:00,2,JalanPerak,,,,
219,2023-09-03,Sunday,12:00,2,JalanPRamlee,,,,
220,2023-09-03,Sunday,12:00,2,JalanPenang,,,,
221,2023-09-03,Sunday,12:15,2,Stadium,,,,
222,2023-09-03,Sunday,12:15,2,JalanPerak,,,,
223,2023-09-03,Sunday,12:15,2,JalanPRamlee,,,,
224,2023-09-03,Sunday,12:15,2,JalanPenang,,,,
225,2023-09-03,Sunday,12:30,2,Stadium,,,,
226,2023-09-03,Sunday,12:30,2,JalanPerak,,,,
227,2023-09-03,Sunday,12:30,2,JalanPRamlee,,,,
228,2023-09-03,Sunday,12:30,2,JalanPenang,,,,
229,2023-09-03,Sunday,12:45,2,Stadium,,,,
230,2023-09-03,Sunday,12:45,2,JalanPerak,,,,
231,2023-09-03,Sunday,12:45,2,JalanPRamlee,,,,
232,2023-09-03,Sunday,12:45,2,JalanPenang,,,,
233,2023-09-03,Sunday,13:00,2,Stadium,,,,
234,2023-09-03,Sunday,13:00,2,JalanPerak,,,,
235,2023-09-03,Sunday,13:00,2,JalanPRamlee,,,,
236,2023-09-03,Sunday,13:00,2,JalanPenang,,,,
237,2023-09-03,Sunday,13:15,2,Stadium,,,,
238,2023-09-03,Sunday,13:15,2,JalanPerak,,,,
239,2023-09-03,Sunday,13:15,2,JalanPRamlee,,,,
240,2023-09-03,Sunday,13:15,2,JalanPenang,,,,
241,2023-09-03,Sunday,13:30,2,Stadium,,,,
242,2023-09-03,Sunday,13:30,2,JalanPerak,,,,
243,2023-09-03,Sunday,13:30,2,JalanPRamlee,,,,
244,2023-09-03,Sunday,13:30,2,JalanPenang,,,,
245,2023-09-03,Sunday,13:45,2,Stadium,,,,
246,2023-09-03,Sunday,13:45,2,JalanPerak,,,,
247,2023-09-03,Sunday,13:45,2,JalanPRamlee,,,,
248,2023-09-03,Sunday,13:45,2,JalanPenang,,,,
249,2023-09-03,Sunday,17:00,3,Stadium,,,,
250,2023-09-03,Sunday,17:00,3,JalanPerak,,,,
251,2023-09-03,Sunday,17:00,3,JalanPRamlee,,,,
252,2023-09-03,Sunday,17:00,3,JalanPenang,,,,
253,2023-09-03,Sunday,17:15,3,Stadium,,,,
254,2023-09-03,Sunday,17:15,3,JalanPerak,,,,
255,2023-09-03,Sunday,17:15,3,JalanPRamlee,,,,
256,2023-09-03,Sunday,17:15,3,JalanPenang,,,,
257,2023-09-03,Sunday,17:30,3,Stadium,,,,
258,2023-09-03,Sunday,17:30,3,JalanPerak,,,,
259,2023-09-03,Sunday,17:30,3,JalanPRamlee,,,,
260,2023-09-03,Sunday,17:30,3,JalanPenang,,,,
261,2023-09-03,Sunday,17:45,3,Stadium,,,,
262,2023-09-03,Sunday,17:45,3,JalanPerak,,,,
263,2023-09-03,Sunday,17:45,3,JalanPRamlee,,,,
264,2023-09-03,Sunday,17:45,3,JalanPenang,,,,
265,2023-09-03,Sunday,18:00,3,Stadium,,,,
266,2023-09-03,Sunday,18:00,3,JalanPerak,,,,
267,2023-09-03,Sunday,18:00,3,JalanPRamlee,,,,
268,2023-09-03,Sunday,18:00,3,JalanPenang,,,,
269,2023-09-03,Sunday,18:15,3,Stadium,,,,
270,2023-09-03,Sunday,18:15,3,JalanPerak,,,,
271,2023-09-03,Sunday,18:15,3,JalanPRamlee,,,,
272,2023-09-03,Sunday,18:15,3,JalanPenang,,,,
273,2023-09-03,Sunday,18:30,3,Stadium,,,,
274,2023-09-03,Sunday,18:30,3,JalanPerak,,,,
275,2023-09-03,Sunday,18:30,3,JalanPRamlee,,,,
276,2023-09-03,Sunday,18:30,3,JalanPenang,,,,
277,2023-09-04,Monday,07:00,1,Stadium,55.0,90.0,1.0,0.0
278,2023-09-04,Monday,07:00,1,JalanPerak,60.0,129.0,0.0,0.0
279,2023-09-04,Monday,07:00,1,JalanPRamlee,69.0,104.0,0.0,0.0
280,2023-09-04,Monday,07:00,1,JalanPenang,116.0,96.0,2.0,0.0
281,2023-09-04,Monday,07:15,1,Stadium,76.0,108.0,0.0,0.0
282,2023-09-04,Monday,07:15,1,JalanPerak,78.0,123.0,1.0,0.0
